Date,aapl_price,nasdaq_price
6/18/15,29.100374,5132.950195
6/19/15,28.809093,5117
6/22/15,29.038935,5153.970215
6/23/15,28.906942,5160.089844
6/24/15,29.152712,5122.410156
6/25/15,29.013901,5112.189941
6/26/15,28.843231,5080.509766
6/29/15,28.338047,4958.470215
6/30/15,28.542849,4986.870117
7/1/15,28.809093,5013.120117
7/2/15,28.77269,5009.209961
7/6/15,28.672564,4991.939941
7/7/15,28.60202,4997.459961
7/8/15,27.892027,4909.759766
7/9/15,27.32313,4922.399902
7/10/15,28.053596,4997.700195
7/13/15,28.595192,5071.509766
7/14/15,28.583811,5104.890137
7/15/15,28.859159,5098.939941
7/16/15,29.243734,5163.180176
7/17/15,29.496325,5210.140137
7/20/15,30.053848,5218.859863
7/21/15,29.753473,5208.120117
7/22/15,28.495066,5171.77002
7/23/15,28.481411,5146.410156
7/24/15,28.331219,5088.629883
7/27/15,27.937534,5039.779785
7/28/15,28.076351,5089.209961
7/29/15,27.987608,5111.72998
7/30/15,27.846518,5128.779785
7/31/15,27.603027,5128.279785
8/3/15,26.9522,5115.379883
8/4/15,26.087479,5105.549805
8/5/15,26.260422,5139.939941
8/6/15,26.317572,5056.439941
8/7/15,26.406725,5043.540039
8/10/15,27.366798,5101.799805
8/11/15,25.94268,5036.790039
8/12/15,26.342718,5044.390137
8/13/15,26.32214,5033.560059
8/14/15,26.507296,5048.240234
8/17/15,26.781607,5091.700195
8/18/15,26.630737,5059.350098
8/19/15,26.290138,5019.049805
8/20/15,25.750669,4877.490234
8/21/15,24.175682,4706.040039
8/24/15,23.572203,4526.25
8/25/15,23.713936,4506.490234
8/26/15,25.074041,4697.540039
